datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2006-01-11,1091.7174,99832.9301,35.1,100924.6475,0.000392097580778,1.009246475,0.0
2006-01-12,1096.7921,99832.9301,35.1,100929.7222,5.02820681143e-05,1.009297222,0.0
2006-01-13,1113.7079,99832.9301,35.1,100946.638,0.000167599787568,1.00946638,0.0
2006-01-17,1102.2573,99832.9301,35.1,100935.1874,-0.000113432207618,1.009351874,-0.000113432207618
2006-01-18,1073.3703,99832.9301,35.1,100906.3004,-0.000286193553944,1.009063004,-0.000399593297995
2006-01-19,1028.4785,99832.9301,35.1,100861.4086,-0.000444885996435,1.008614086,-0.000844301520968
2006-01-20,990.0927,99832.9301,35.1,100823.0228,-0.00038057965413,1.008230228,-0.00122455985112
2006-01-23,1010.6519,99832.9301,35.1,100843.582,0.0002039137434,1.00843582,-0.0010208958123
2006-01-24,989.4421,99832.9301,35.1,100822.3722,-0.000210323746731,1.008223722,-0.0012310048404
2006-01-25,965.4998,99832.9301,35.1,100798.4299,-0.000237470111817,1.007984299,-0.00146818262536
2006-01-26,941.1671,99832.9301,35.1,100774.0972,-0.000241399593467,1.007740972,-0.00170922780014
2006-01-27,937.2635,99832.9301,35.1,100770.1936,-3.87361445894e-05,1.007701936,-0.00174789773583
2006-01-30,975.9095,99832.9301,35.1,100808.8396,0.000383506259335,1.008088396,-0.00136506180622
2006-01-31,982.5457,99832.9301,35.1,100815.4758,6.5829544575e-05,1.008154758,-0.00129932212304
2006-02-01,981.3745,99832.9301,35.1,100814.3046,-1.16172640232e-05,1.008143046,-0.0013109242925
2006-02-02,938.1743,99832.9301,35.1,100771.1044,-0.000428512602169,1.007711044,-0.00173887514708
2006-02-03,934.9213,99832.9301,35.1,100767.8514,-3.22810791781e-05,1.007678514,-0.0017711000935
2006-02-06,875.7161,99832.9301,35.1,100708.6462,-0.000587540561572,1.007086462,-0.00235760006193
2006-02-07,879.6197,99832.9301,35.1,100712.5498,3.87613193831e-05,1.007125498,-0.00231893012623
2006-02-08,895.3644,99832.9301,35.1,100728.2945,0.000156333049171,1.007282945,-0.00216295960248
2006-02-09,845.1376,99832.9301,35.1,100678.0677,-0.000498636458101,1.006780677,-0.00266051753006
2006-02-10,875.8462,99832.9301,35.1,100708.7763,0.000305017773002,1.007087763,-0.00235631126219
2006-02-13,842.0147,99832.9301,35.1,100674.9448,-0.000335933979569,1.006749448,-0.00269145367674
2006-02-14,880.1402,99832.9301,35.1,100713.0703,0.000378698990854,1.007130703,-0.00231377393668
2006-02-15,900.6994,99832.9301,35.1,100733.6295,0.000204136364215,1.007336295,-0.00211010989786
2006-02-16,918.2658,99832.9301,35.1,100751.1959,0.000174384662671,1.007511959,-0.001936093206
2006-02-17,914.6224,99832.9301,35.1,100747.5525,-3.61623499101e-05,1.007475525,-0.00197218554223
2006-02-21,898.8777,99832.9301,35.1,100731.8078,-0.000156278734414,1.007318078,-0.00212815606598
2006-02-22,928.0248,99832.9301,35.1,100760.9549,0.000289353488601,1.007609549,-0.00183941836676
2006-02-23,933.6201,99832.9301,35.1,100766.5502,5.5530438408e-05,1.007665502,-0.00178399007206
2006-02-24,929.8466,99832.9301,35.1,100762.7767,-3.74479427201e-05,1.007627767,-0.00182137120802
2006-02-27,923.7309,99832.9301,35.1,100756.661,-6.06940400046e-05,1.00756661,-0.00188195470165
2006-02-28,891.2005,99832.9301,35.1,100724.1306,-0.000322861036453,1.007241306,-0.00220420812826
2006-03-01,899.1379,99832.9301,35.1,100732.068,7.88033607508e-05,1.00732068,-0.00212557846652
2006-03-02,905.7741,99832.9301,35.1,100738.7042,6.58797156829e-05,1.007387042,-0.00205983878334
2006-03-03,881.1812,99832.9301,35.1,100714.1113,-0.000244125633691,1.007141113,-0.00230346155758
2006-03-06,852.034,99832.9301,35.1,100684.9641,-0.000289405323879,1.006849641,-0.00259220024742
2006-03-07,862.8341,99832.9301,35.1,100695.7642,0.000107266264596,1.006957642,-0.00248521203846
2006-03-08,854.3762,99832.9301,35.1,100687.3063,-8.39945956734e-05,1.006873063,-0.00256899788976
2006-03-09,831.8653,99832.9301,35.1,100664.7954,-0.000223572372995,1.006647954,-0.0027919959058
2006-03-10,822.2362,99832.9301,35.1,100655.1663,-9.5655089366e-05,1.006551663,-0.00288738392655
2006-03-13,854.6365,99832.9301,35.1,100687.5666,0.000321894058606,1.006875666,-0.00256641929967
2006-03-14,875.9763,99832.9301,35.1,100708.9064,0.000211940766081,1.007089064,-0.00235502246246
2006-03-15,861.7931,99832.9301,35.1,100694.7232,-0.000140833621444,1.006947232,-0.00249552441756
2006-03-16,836.8099,99832.9301,35.1,100669.74,-0.000248108333844,1.0066974,-0.002743013591
2006-03-17,841.3641,99832.9301,35.1,100674.2942,4.52390162129e-05,1.006742942,-0.00269789866603
2006-03-20,832.646,99832.9301,35.1,100665.5761,-8.65970809062e-05,1.006655761,-0.00278426211678
2006-03-21,804.2795,99832.9301,35.1,100637.2096,-0.000281789476591,1.006372096,-0.00306526701761
2006-03-22,802.4579,99832.9301,35.1,100635.388,-1.81006608515e-05,1.00635388,-0.0030833121951
2006-03-23,782.8096,99832.9301,35.1,100615.7397,-0.000195242452883,1.006157397,-0.00327795265455
2006-03-24,780.2071,99832.9301,35.1,100613.1372,-2.58657344046e-05,1.006131372,-0.0033037336023
2006-03-27,774.3517,99832.9301,35.1,100607.2818,-5.81971714922e-05,1.006072818,-0.00336173850584
2006-03-28,763.942,99832.9301,35.1,100596.8721,-0.000103468653697,1.005968721,-0.00346485932498
2006-03-29,811.0458,99832.9301,35.1,100643.9759,0.000468243187056,1.006439759,-0.0029982385347
2006-03-30,816.511,99832.9301,35.1,100649.4411,5.43023062347e-05,1.006494411,-0.00294409903973
2006-03-31,816.1206,99832.9301,35.1,100649.0507,-3.87880941755e-06,1.006490507,-0.00294796642955
2006-04-03,815.2097,99832.9301,35.1,100648.1398,-9.05025922904e-06,1.006481398,-0.00295699000892
2006-04-04,795.9518,99832.9301,35.1,100628.8819,-0.000191338856717,1.006288819,-0.00314776307855
2006-04-05,874.5451,99832.9301,35.1,100707.4752,0.000781021298419,1.007074752,-0.00236920025014
2006-04-06,926.9839,99832.9301,35.1,100759.914,0.000520704147293,1.00759914,-0.00184972975524
2006-04-07,908.1163,99832.9301,35.1,100741.0464,-0.000187253037949,1.007410464,-0.00203663642567
2006-04-10,893.5428,99832.9301,35.1,100726.4729,-0.000144662980193,1.007264729,-0.00218100477997
2006-04-11,884.6945,99832.9301,35.1,100717.6246,-8.78448311079e-05,1.007176246,-0.00226865802108
2006-04-12,868.0389,99832.9301,35.1,100700.969,-0.000165369269442,1.00700969,-0.0024336521242
2006-04-13,864.916,99832.9301,35.1,100697.8461,-3.10116181702e-05,1.006978461,-0.00246458827088
2006-04-17,843.3159,99832.9301,35.1,100676.246,-0.000214504091563,1.00676246,-0.00267856369818
2006-04-18,861.663,99832.9301,35.1,100694.5931,0.000182238618631,1.006945931,-0.0024968132173
2006-04-19,854.2461,99832.9301,35.1,100687.1762,-7.36573809145e-05,1.006871762,-0.00257028668949
2006-04-20,880.0101,99832.9301,35.1,100712.9402,0.000255881642254,1.007129402,-0.00231506273641
2006-04-21,872.3329,99832.9301,35.1,100705.263,-7.62285361222e-05,1.00705263,-0.00239111479869
2006-04-24,855.5474,99832.9301,35.1,100688.4775,-0.00016667947136,1.006884775,-0.0025573957203
